Included Days,Days Traded per Week,Total Trades,Overall Win Rate (%),WR Bracket,Monthly Mean WR (%),Monthly Std Dev (%)
Saturday,1,57,84.21,80-85%,84.62,19.63
"Thursday, Saturday",2,114,78.07,75-80%,78.87,14.8
"Thursday, Saturday, Sunday",3,170,75.29,75-80%,75.77,16.45
"Wednesday, Thursday, Saturday",3,171,76.02,75-80%,76.6,18.02
"Saturday, Sunday",2,113,76.99,75-80%,77.07,21.8
"Wednesday, Saturday",2,114,78.07,75-80%,78.42,23.24
"Wednesday, Saturday, Sunday",3,170,75.29,75-80%,75.21,23.36
"Thursday, Friday, Saturday",3,171,71.35,70-75%,71.46,8.74
"Thursday, Friday, Saturday, Sunday",4,227,70.93,70-75%,71.16,10.79
"Wednesday, Thursday, Friday, Saturday",4,228,71.49,70-75%,71.77,11.94
"Monday, Thursday, Saturday",3,170,70.59,70-75%,70.84,12.4
"Friday, Saturday",2,114,71.05,70-75%,70.75,12.61
"Wednesday, Thursday, Friday, Saturday, Sunday",5,284,71.13,70-75%,71.34,13.6
"Friday, Saturday, Sunday",3,170,70.59,70-75%,70.62,13.69
"Monday, Thursday, Saturday, Sunday",4,226,70.35,70-75%,70.51,13.95
"Tuesday, Thursday, Saturday",3,170,71.76,70-75%,71.93,14.51
"Wednesday, Friday, Saturday",3,171,71.35,70-75%,71.49,14.53
"Monday, Wednesday, Thursday, Saturday",4,227,70.93,70-75%,71.13,14.74
"Tuesday, Wednesday, Thursday, Saturday",4,227,71.81,70-75%,71.91,15.41
"Tuesday, Thursday, Saturday, Sunday",4,226,71.24,70-75%,71.48,15.57
"Monday, Wednesday, Thursday, Saturday, Sunday",5,283,70.67,70-75%,70.74,16.06
"Wednesday, Friday, Saturday, Sunday",4,227,70.93,70-75%,70.99,16.16
"Thursday, Sunday",2,113,70.8,70-75%,71.15,16.53
"Tuesday, Wednesday, Thursday, Saturday, Sunday",5,283,71.38,70-75%,71.47,16.74
"Monday, Wednesday, Saturday",3,170,70.59,70-75%,70.53,17.53
"Tuesday, Saturday",2,113,71.68,70-75%,71.58,17.72
"Tuesday, Wednesday, Saturday",3,170,71.76,70-75%,71.64,17.92
Thursday,1,57,71.93,70-75%,72.31,18.1
"Tuesday, Saturday, Sunday",3,169,71.01,70-75%,71.07,18.79
"Wednesday, Thursday, Saturday, Sunday",4,227,74.45,70-75%,74.72,18.82
"Monday, Wednesday, Saturday, Sunday",4,226,70.35,70-75%,70.12,18.95
"Wednesday, Thursday",2,114,71.93,70-75%,72.26,19.22
"Wednesday, Thursday, Sunday",3,170,71.18,70-75%,71.22,19.51
"Tuesday, Wednesday, Saturday, Sunday",4,226,71.24,70-75%,71.11,19.51
"Wednesday, Sunday",2,113,70.8,70-75%,70.19,26.82
Wednesday,1,57,71.93,70-75%,71.92,29.55
"Monday, Thursday, Friday, Saturday",4,227,67.4,65-70%,67.6,8.07
"Monday, Tuesday, Thursday, Friday, Saturday",5,283,65.72,65-70%,65.85,8.79
"Thursday, Friday, Sunday",3,170,66.47,65-70%,66.59,9.11
"Monday, Thursday, Friday, Saturday, Sunday",5,283,67.84,65-70%,68.05,9.75
