Date,True_Net_PnL_After_Fees,net pnl
2025-01-01 00:00:00,1.9170696,0.9585348
2025-01-02 00:00:00,-2.18445616,-1.09222808
2025-01-03 00:00:00,1.915748,0.957874
2025-01-04 00:00:00,1.9149633,0.95748165
2025-01-05 00:00:00,1.91513676,0.95756838
2025-01-06 00:00:00,-2.211636351,-1.105818176
2025-01-07 00:00:00,1.918226,0.959113
2025-01-08 00:00:00,1.9211583,0.96057915
2025-01-09 00:00:00,1.9155002,0.9577501
2025-01-10 00:00:00,1.9147155,0.95735775
2025-01-11 00:00:00,1.9183912,0.9591956
2025-01-12 00:00:00,1.9159545,0.95797725
2025-01-13 00:00:00,-2.2470566,-1.1235283
2025-01-14 00:00:00,-2.151766007,-1.075883003
2025-01-15 00:00:00,1.9147568,0.9573784
2025-01-16 00:00:00,1.9154176,0.9577088
2025-01-17 00:00:00,-2.088232518,-1.044116259
2025-01-18 00:00:00,1.9139308,0.9569654
2025-01-19 00:00:00,1.9151698,0.9575849
2025-01-20 00:00:00,-6.357738004,-3.178869002
2025-01-21 00:00:00,1.920704,0.960352
2025-01-22 00:00:00,1.9154176,0.9577088
2025-01-23 00:00:00,1.9164088,0.9582044
2025-01-24 00:00:00,1.919599579,0.95979979
2025-01-25 00:00:00,1.9155002,0.9577501
2025-01-26 00:00:00,1.9149633,0.95748165
2025-01-27 00:00:00,-2.142943961,-1.071471981
2025-01-28 00:00:00,1.9156241,0.95781205
2025-01-29 00:00:00,1.916161,0.9580805
2025-01-30 00:00:00,1.9154176,0.9577088
2025-01-31 00:00:00,1.932223726,0.966111863
2025-02-01 00:00:00,1.915748,0.957874
2025-02-02 00:00:00,-2.202821114,-1.101410557
2025-02-03 00:00:00,-2.110311002,-1.055155501
2025-02-04 00:00:00,1.9157067,0.95785335
2025-02-05 00:00:00,1.9183499,0.95917495
2025-02-06 00:00:00,1.915748,0.957874
2025-02-07 00:00:00,1.9151698,0.9575849
2025-02-08 00:00:00,1.9156654,0.9578327
2025-02-09 00:00:00,1.9159958,0.9579979
2025-02-10 00:00:00,1.934850548,0.967425274
2025-02-11 00:00:00,1.9150046,0.9575023
2025-02-12 00:00:00,1.9150872,0.9575436
2025-02-13 00:00:00,1.9202084,0.9601042
2025-02-14 00:00:00,1.9160371,0.95801855
2025-02-15 00:00:00,1.9162436,0.9581218
2025-02-16 00:00:00,1.9145916,0.9572958
2025-02-17 00:00:00,1.9159958,0.9579979
2025-02-18 00:00:00,1.923907381,0.961953691
2025-02-19 00:00:00,1.9152524,0.9576262
2025-02-20 00:00:00,-2.245735,-1.1228675
2025-02-21 00:00:00,1.919052,0.959526
2025-02-22 00:00:00,1.9157893,0.95789465
2025-02-23 00:00:00,1.9158719,0.95793595
2025-02-24 00:00:00,1.9161197,0.95805985
2025-02-25 00:00:00,-2.2494933,-1.12474665
2025-02-26 00:00:00,1.9167392,0.9583696
2025-02-27 00:00:00,1.927920078,0.963960039
2025-02-28 00:00:00,-2.174013739,-1.087006869
2025-03-01 00:00:00,1.9141786,0.9570893
2025-03-02 00:00:00,1.9149633,0.95748165
2025-03-03 00:00:00,1.936626967,0.968313484
2025-03-04 00:00:00,-2.2508562,-1.1254281
2025-03-05 00:00:00,1.9152524,0.9576262
2025-03-06 00:00:00,1.9177304,0.9588652
2025-03-07 00:00:00,-6.252347295,-3.126173648
2025-03-08 00:00:00,1.9196302,0.9598151
2025-03-09 00:00:00,1.9147155,0.95735775
2025-03-10 00:00:00,1.912444,0.956222
2025-03-11 00:00:00,1.929967142,0.964983571
2025-03-12 00:00:00,1.9157067,0.95785335
2025-03-13 00:00:00,1.9146329,0.95731645
2025-03-14 00:00:00,1.9154176,0.9577088
2025-03-15 00:00:00,1.9154176,0.9577088
2025-03-16 00:00:00,1.9150872,0.9575436
2025-03-17 00:00:00,1.914922,0.957461
2025-03-18 00:00:00,-2.2505258,-1.1252629
2025-03-19 00:00:00,-2.119584221,-1.05979211
2025-03-20 00:00:00,-2.205732953,-1.102866476
2025-03-21 00:00:00,1.914096,0.957048
2025-03-22 00:00:00,1.9164914,0.9582457
2025-03-23 00:00:00,-2.2478413,-1.12392065
2025-03-24 00:00:00,-2.234012939,-1.11700647
2025-03-25 00:00:00,-2.250691,-1.1253455
2025-03-26 00:00:00,1.9175652,0.9587826
2025-03-27 00:00:00,1.9169457,0.95847285
2025-03-28 00:00:00,-2.165570142,-1.082785071
2025-03-29 00:00:00,1.9178543,0.95892715
2025-03-30 00:00:00,1.9155002,0.9577501
2025-03-31 00:00:00,-2.216203376,-1.108101688
2025-04-01 00:00:00,1.918630362,0.959315181
2025-04-02 00:00:00,1.9164914,0.9582457
