Time,Contract,Qty,Side,Filled/Remaining,Exec.Price,Order Price,Stop Price,Order Value,Trading Fees,Cashflow,Realised P&L,Order Type
2026-03-19 08:11:33.144107+05:30 IST Asia/Kolkata,C-BTC-73800-190326,31,buy,31/0,1,1,,0.031,0.0012803,-0.031,0.93,limit_order
2026-03-19 08:11:33.234774+05:30 IST Asia/Kolkata,C-BTC-73800-190326,31,buy,0/31,,,123,0.031,0,,,market_order
2026-03-19 00:30:05.710488+05:30 IST Asia/Kolkata,C-BTC-73800-190326,31,sell,31/0,31,0.1,,0.031,0.0396893,0.961,0,market_order
2026-03-18 13:33:52.484065+05:30 IST Asia/Kolkata,P-BTC-72200-180326,29,buy,29/0,1,1,,0.029,0.0011977,-0.029,0.928,limit_order
2026-03-18 13:33:52.579274+05:30 IST Asia/Kolkata,P-BTC-72200-180326,29,buy,0/29,,,129.66,0.029,0,,,market_order
2026-03-18 00:30:07.433206+05:30 IST Asia/Kolkata,P-BTC-72200-180326,29,sell,29/0,33,0.1,,0.029,0.0395241,0.957,0,market_order
2026-03-18 11:38:51.434729+05:30 IST Asia/Kolkata,C-BTC-76800-180326,23,buy,23/0,1,1,,0.023,0.0009499,-0.023,0.92,limit_order
2026-03-18 11:38:51.531752+05:30 IST Asia/Kolkata,C-BTC-76800-180326,23,buy,0/23,,,166.58,0.023,0,,,market_order
2026-03-18 00:30:05.065375+05:30 IST Asia/Kolkata,C-BTC-76800-180326,23,sell,23/0,41,0.1,,0.023,0.0389459,0.943,0,market_order
2026-03-15 16:03:00.240117+05:30 IST Asia/Kolkata,C-BTC-71800-150326,9,sell,9/0,92,0.1,,0.009,0.0341964,0.828,-0.279,market_order
2026-03-15 16:02:57.835337+05:30 IST Asia/Kolkata,P-BTC-71800-150326,18,sell,18/0,7.00E+01,0.1,,0.018,0.052038,1.26,0.234,market_order
2026-03-15 16:02:57.930800+05:30 IST Asia/Kolkata,P-BTC-71800-150326,18,sell,0/18,,,28.7,0.018,0,,,market_order
2026-03-15 16:00:01.338237+05:30 IST Asia/Kolkata,P-BTC-71800-150326,18,buy,18/0,57,2482.9,,0.018,0.0423738,-1.026,0,market_order
2026-03-15 16:03:00.332558+05:30 IST Asia/Kolkata,C-BTC-71800-150326,9,sell,0/9,,,59.5,0.009,0,,,market_order
2026-03-15 15:59:59.605943+05:30 IST Asia/Kolkata,C-BTC-71800-150326,9,buy,9/0,123,2855,,0.009,0.0457191,-1.107,0,market_order
2026-03-15 15:58:23.916183+05:30 IST Asia/Kolkata,P-BTC-71800-150326,15,sell,15/0,59,0.1,,0.015,0.0365505,0.885,-0.09,market_order
2026-03-15 15:58:23.805875+05:30 IST Asia/Kolkata,C-BTC-71800-150326,10,sell,10/0,114,0.1,,0.01,0.047082,1.14,-0.01,market_order
2026-03-15 15:58:23.724276+05:30 IST Asia/Kolkata,P-BTC-71800-150326,15,sell,0/15,,,33,0.015,0,,,market_order
2026-03-15 15:56:30.163799+05:30 IST Asia/Kolkata,P-BTC-71800-150326,15,buy,15/0,65,2544.3,,0.015,0.0402675,-0.975,0,market_order
2026-03-15 15:58:23.728485+05:30 IST Asia/Kolkata,C-BTC-71800-150326,10,sell,0/10,,,52.02,0.01,0,,,market_order
2026-03-15 15:56:28.233480+05:30 IST Asia/Kolkata,C-BTC-71800-150326,10,buy,10/0,115,2801.4,,0.01,0.047495,-1.15,0,market_order
2026-03-15 15:42:35.386434+05:30 IST Asia/Kolkata,C-BTC-71800-150326,16,sell,16/0,87,0.1,,0.016,0.0574896,1.392,0.336,market_order
2026-03-15 15:42:32.789893+05:30 IST Asia/Kolkata,P-BTC-71800-150326,8,sell,8/0,95,0.1,,0.008,0.031388,0.76,-0.28,market_order
2026-03-15 15:42:32.887238+05:30 IST Asia/Kolkata,P-BTC-71800-150326,8,sell,0/8,,,63.63,0.008,0,,,market_order
2026-03-15 15:41:25.444525+05:30 IST Asia/Kolkata,P-BTC-71800-150326,8,buy,8/0,1.30E+02,2697.5,,0.008,0.042952,-1.04,0,market_order
2026-03-15 15:42:35.484327+05:30 IST Asia/Kolkata,C-BTC-71800-150326,16,sell,0/16,,,32.68,0.016,0,,,market_order
2026-03-15 15:41:23.647319+05:30 IST Asia/Kolkata,C-BTC-71800-150326,16,buy,16/0,66,2342.2,,0.016,0.0436128,-1.056,0,market_order
2026-03-14 23:21:27.310923+05:30 IST Asia/Kolkata,ETHUSD,1,sell,1/0,2073.75,1970.15,,20.7375,0,-0.015,-0.015,market_order
2026-03-14 23:21:15.956126+05:30 IST Asia/Kolkata,BTCUSD,1,buy,1/0,7.06E+04,74116.5,,70.58,0,0.027,0.027,market_order
